Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm-rnd-yr)
Anthony Johnson Jr.,SAF,Iowa St.,College Stats,6-0,205,4.54,37.5,,125,,,
Chris Rodriguez Jr.,RB,Kentucky,,6-0,217,,,,,,,
Darrell Luter Jr.,CB,South Alabama,College Stats,6-0,189,4.46,40.5,,123,6.9,4.43,
Dontay Demus Jr.,WR,Maryland,College Stats,6-3,212,4.57,35.5,,123,,4.39,
Earl Bostick Jr.,OT,Kansas,College Stats,6-6,309,5.05,31,,111,,,
Emil Ekiyor Jr.,G,Alabama,College Stats,6-3,314,,,,,,,
Ivan Pace Jr.,LB,Cincinnati,College Stats,5-11,231,,,,,,,
Joey Porter Jr.,CB,Penn St.,College Stats,6-3,193,4.46,35,17,129,,,
Paris Johnson Jr.,OT,Ohio St.,College Stats,6-6,313,,,,110,,,
Viliami Fehoko Jr.,DE,San Jose St.,,6-4,276,,,24,,,,
Will Anderson Jr.,EDGE,Alabama,College Stats,6-4,253,4.6,,,,,,
Calijah Kancey,DT,Pittsburgh,College Stats,6-1,281,4.67,,,,,,
Kyu Blu Kelly,CB,Stanford,College Stats,6-0,191,4.52,36,,131,,,
Dalton Kincaid,TE,Utah,College Stats,6-4,246,,,,,,,
Jaxson Kirkland,G,Washington,College Stats,6-7,321,,,,,,,
Malik Knowles,WR,Kansas St.,College Stats,6-2,196,,,,,,,
Adam Korsak,P,Rutgers,College Stats,6-1,187,,,,,,,
Tucker Kraft,TE,South Dakota St.,,6-5,254,,34,23,122,7.08,4.29,
Zack Kuntz,TE,Old Dominion,,6-7,255,,40,23,128,6.87,4.12,
Tyler Lacy,DE,Oklahoma St.,College Stats,6-4,279,5.11,28.5,30,116,7.6,,
Brent Laing,G,Duluth/University of Minnesota,,6-4,304,,,,,,,
Isaiah Land,EDGE,Florida A&M,,6-4,236,4.62,34.5,21,126,7.2,4.56,
Matt Landers,WR,Arkansas,College Stats,6-4,200,4.37,37,,130,,,
Sam LaPorta,TE,Iowa,College Stats,6-3,245,,35,,123,6.91,4.25,
Cameron Latu,TE,Alabama,College Stats,6-4,242,,,,,,,
Eku Leota,EDGE,Auburn,,6-3,252,,,,,,,
Will Levis,QB,Kentucky,College Stats,6-4,229,,34,,124,,,
Hunter Luepke,FB,North Dakota St.,,6-1,230,,,,,,,
Will Mallory,TE,Miami,College Stats,6-5,239,,36.5,20,121,,,
Tashawn Manning,G,Kentucky,College Stats,6-3,327,5.34,27.5,,102,7.9,4.8,
Jartavius Martin,SAF,Illinois,College Stats,5-11,194,4.46,44,15,133,,,
Ochaun Mathis,EDGE,Nebraska,College Stats,6-5,250,4.74,33.5,21,118,,4.38,
Cody Mauch,OT,North Dakota St.,,6-5,302,5.08,29,,108,7.33,4.55,
Michael Mayer,TE,Notre Dame,College Stats,6-5,249,,32.5,,118,,,
DeWayne McBride,RB,Alabama-Birmingham,,5-10,209,,,,,,,
Warren McClendon,OT,Georgia,College Stats,6-4,306,,,,,,,
Jordan McFadden,G,Clemson,College Stats,6-2,303,4.99,28.5,,,7.7,4.81,
Isaiah McGuire,DE,Missouri,College Stats,6-4,268,4.76,36.5,,122,7.39,,
Kenny McIntosh,RB,Georgia,College Stats,6-0,204,4.62,,,,,,
Tanner McKee,QB,Stanford,College Stats,6-6,231,,33,,114,7.22,4.41,
Kaevon Merriweather,SAF,Iowa,College Stats,6-0,205,4.62,35.5,,118,,,
Kendre Miller,RB,TCU,College Stats,5-11,215,,,,,,,
Ventrell Miller,LB,Florida,College Stats,6-0,232,,,,,,,
Marvin Mims,WR,Oklahoma,College Stats,5-11,183,4.38,39.5,,129,6.9,,
Jonathan Mingo,WR,Mississippi,College Stats,6-2,220,4.46,39.5,22,129,,,
Cameron Mitchell,CB,Northwestern,College Stats,5-11,191,4.47,35,15,,,,
Keaton Mitchell,RB,East Carolina,College Stats,5-8,179,4.37,38,,126,,,
Jake Moody,K,Michigan,College Stats,6-1,209,,,,,,,
Isaiah Moore,LB,North Carolina St.,College Stats,6-2,233,,,26,,,,
Jalen Moreno-Cropper,WR,Fresno St.,,5-11,172,4.4,,,121,,,
Mike Morris,DE,Michigan,College Stats,6-5,275,4.95,28.5,22,110,,,
Wanya Morris,OT,Oklahoma,College Stats,6-5,307,5.1,28.5,,111,,,
Riley Moss,CB,Iowa,College Stats,6-1,193,4.45,39,,127,,,
Caleb Murphy,EDGE,Ferris St.,,6-3,254,4.81,28.5,,119,7.28,4.45,
Myles Murphy,EDGE,Clemson,College Stats,6-5,268,,,25,,,,
Luke Musgrave,TE,Oregon St.,College Stats,6-6,253,,36,,125,,,
PJ Mustipher,DT,Penn St.,College Stats,6-4,320,5.41,27.5,19,96,8.01,5.03,
Puka Nacua,WR,BYU,College Stats,6-2,201,,,,,,,
Lukas Van Ness,EDGE,Iowa,College Stats,6-5,272,4.58,31,17,118,7.02,4.32,
Joseph Ngata,WR,Clemson,College Stats,6-3,217,4.54,34.5,,124,,,
Aidan O'Connell,QB,Purdue,College Stats,6-3,213,,,,,,,
Moro Ojomo,DT,Texas,College Stats,6-3,292,5.04,33,29,112,,,
John Ojukwu,OT,Boise St.,College Stats,6-6,309,5.24,28.5,,104,7.52,4.52,
BJ Ojulari,EDGE,LSU,College Stats,6-2,248,,32.5,,126,,,
Olusegun Oluwatimi,C,Michigan,,6-3,309,5.38,29,,110,,,
Anfernee Orji,LB,Vanderbilt,College Stats,6-1,230,4.53,38.5,,122,7,4.43,
DeMarvion Overshown,LB,Texas,College Stats,6-3,229,4.56,,15,124,,,
Gervarrius Owens,SAF,Houston,College Stats,6-0,195,,37.5,15,125,,,
Trey Palmer,WR,Nebraska,College Stats,6-0,192,4.33,,,,,,
Owen Pappoe,LB,Auburn,College Stats,6-0,225,4.39,35.5,29,126,,,
Jarrett Patterson,C,Notre Dame,College Stats,6-5,306,5.33,29.5,,106,7.96,4.73,
Kyle Patterson,TE,Air Force,College Stats,6-5,260,,,,,,,
Camerun Peoples,RB,Appalachian St.,College Stats,6-1,217,4.61,37,,121,,,
A.T. Perry,WR,Wake Forest,College Stats,6-4,198,4.47,35,,133,,,
Lonnie Phelps,EDGE,Kansas,College Stats,6-2,244,4.55,,31,,,,
Zacch Pickens,DT,South Carolina,College Stats,6-4,291,4.89,30.5,22,116,7.45,4.62,
Jack Podlesny,K,Georgia,College Stats,6-0,194,,,,,,,
B.T. Potter,K,Clemson,College Stats,5-10,185,,,,,,,
Deneric Prince,RB,Tulsa,College Stats,6-0,216,4.41,35.5,,124,,,
Jose Ramirez,EDGE,Eastern Michigan,,6-2,242,4.73,34.5,21,118,6.95,4.3,
Jalen Redmond,DT,Oklahoma,College Stats,6-2,291,4.81,34.5,27,116,7.3,4.51,
Jayden Reed,WR,Michigan St.,College Stats,5-11,187,4.45,33.5,,121,,4.29,
Rashee Rice,WR,SMU,College Stats,6-1,204,4.51,41,,128,,,
Asim Richards,OT,North Carolina,College Stats,6-4,309,,,,,,,
Anthony Richardson,QB,Florida,College Stats,6-4,244,4.43,40.5,,129,,,
Eli Ricks,CB,Alabama,College Stats,6-2,188,,,,,,,
Kelee Ringo,CB,Georgia,College Stats,6-2,207,4.36,33.5,,122,,,
Brad Robbins,P,Michigan,College Stats,6-1,199,,,,,,,
Bijan Robinson,RB,Texas,College Stats,5-11,215,4.46,37,,124,,,
Jammie Robinson,SAF,Florida St.,College Stats,5-11,191,4.59,33.5,23,116,,,
Tavius Robinson,EDGE,Mississippi,College Stats,6-6,257,4.66,33.5,23,120,,4.62,
Jaquelin Roy,DT,LSU,College Stats,6-3,305,,,30,,8.01,5,
Darius Rush,CB,South Carolina,College Stats,6-2,198,4.36,35,,121,,,
Chad Ryland,K,Maryland,College Stats,6-0,190,,,,,,,
Nick Saldiveri,G,Old Dominion,,6-6,318,5.21,31,,111,,4.69,
Drew Sanders,LB,Arkansas,College Stats,6-4,235,,,,,,,
John Michael Schmitz,C,Minnesota,College Stats,6-4,301,5.35,29.5,,104,,4.56,
Luke Schoonmaker,TE,Michigan,College Stats,6-5,251,,33.5,,127,,4.27,
Daniel Scott,SAF,California,College Stats,6-1,208,4.45,39.5,22,128,6.75,4.17,
Tyler Scott,WR,Cincinnati,College Stats,5-10,177,4.44,39.5,,133,,,
Juice Scruggs,C,Penn St.,College Stats,6-3,301,5.22,32,,102,7.75,4.82,
Noah Sewell,LB,Oregon,College Stats,6-2,246,4.64,33,27,115,,,
Justin Shorter,WR,Florida,College Stats,6-4,229,4.55,35.5,18,126,,,
Nesta Jade Silvera,DT,Arizona St.,,6-2,304,5.16,29.5,,110,,,
Trenton Simpson,LB,Clemson,College Stats,6-2,235,4.43,,25,,,,
JL Skinner,SAF,Boise St.,College Stats,6-4,209,,,,,,,
Peter Skoronski,OT,Northwestern,College Stats,6-4,313,5.16,34.5,,115,7.8,,
Cam Smith,CB,South Carolina,College Stats,6-1,180,4.43,38,,134,,,
Christopher Smith,SAF,Georgia,College Stats,5-11,192,4.62,33,15,116,,,
Mazi Smith,DT,Michigan,College Stats,6-3,323,,,34,,,,
Nolan Smith,EDGE,Georgia,College Stats,6-2,238,4.39,41.5,,128,,,
Terell Smith,CB,Minnesota,College Stats,6-1,204,4.41,34,14,120,7.02,4.3,
Jaxon Smith-Njigba,WR,Ohio St.,College Stats,6-1,196,,35,,125,6.57,3.93,
Sidy Sow,G,Eastern Michigan,,6-5,323,5.07,32,,110,7.62,4.69,
Tyjae Spears,RB,Tulane,College Stats,5-10,201,,39,,125,,,
Tyler Steen,OT,Alabama,College Stats,6-6,321,,29.5,,109,,4.59,
Tyrique Stevenson,CB,Miami,College Stats,6-0,198,4.45,38.5,,125,7.09,4.41,
Dante Stills,DT,West Virginia,College Stats,6-4,286,4.85,28.5,20,113,7.38,4.61,
Brenton Strange,TE,Penn St.,College Stats,6-4,253,,36,23,124,7.25,4.46,
Ricky Stromberg,C,Arkansas,College Stats,6-3,306,5.26,32.5,,111,,,
C.J. Stroud,QB,Ohio St.,College Stats,6-3,214,,,,,,,
Leonard Taylor,TE,Cincinnati,College Stats,6-5,250,,,,,,,
Noah Taylor,EDGE,North Carolina,College Stats,6-4,238,,,22,,,,
Charlie Thomas,LB,Georgia Tech,College Stats,6-3,216,4.52,32.5,18,124,7.09,4.34,
Tavion Thomas,RB,Utah,College Stats,6-0,237,4.74,30,,118,,,
SaRodorick Thompson,RB,Texas Tech,College Stats,6-0,207,4.67,32.5,,120,7.25,4.7,
Dorian Thompson-Robinson,QB,UCLA,College Stats,6-2,203,4.56,32.5,,121,7.28,4.44,
Cedric Tillman,WR,Tennessee,College Stats,6-3,213,4.54,37,,128,,,
Mitchell Tinsley,WR,Penn St.,College Stats,6-0,199,4.6,35.5,14,120,,4.21,
Joe Tippmann,C,Wisconsin,College Stats,6-6,313,,,,,,,
Henry To'oTo'o,LB,Alabama,College Stats,6-1,227,4.62,32,,116,,4.4,
O'Cyrus Torrence,G,Florida,College Stats,6-5,330,5.31,23.5,,101,,4.81,
Cory Trice,CB,Purdue,College Stats,6-3,206,4.47,35.5,17,132,,,
Sean Tucker,RB,Syracuse,College Stats,5-9,207,,,,,,,
Tre Tucker,WR,Cincinnati,College Stats,5-9,182,4.4,37.5,,124,,,
Tuli Tuipulotu,EDGE,USC,College Stats,6-3,266,,,,,,,
Clayton Tune,QB,Houston,College Stats,6-3,220,4.64,37.5,,122,6.89,4.25,
Michael Turk,P,Oklahoma,College Stats,6-0,227,4.83,34,,109,,,
DJ Turner,CB,Michigan,College Stats,5-11,178,4.26,38.5,,131,,,
Carrington Valentine,CB,Kentucky,College Stats,6-0,193,,39,9,128,,,
Deuce Vaughn,RB,Kansas St.,College Stats,5-5,179,,35.5,,116,,,
Travis Vokolek,TE,Nebraska,College Stats,6-6,259,,,20,115,,,
Andrew Vorhees,G,USC,College Stats,6-6,310,,29,,105,,,
