Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
2,50,KAN,Javier Arenas,DB,22,2014,0,0,1,9,8,69,0,0,0,0,0,4,17,1,0,0,0,137,2,5,Alabama,College Stats,ArenJa99
2,51,MIN,Toby Gerhart,RB,23,2015,0,0,0,16,13,82,0,0,0,0,0,397,1675,7,100,809,3,7,,,Stanford,College Stats,GerhTo00
2,52,PIT,Jason Worilds,DE,22,2014,0,0,2,22,22,73,0,0,0,0,0,0,0,0,0,0,0,144,1,25.5,Virginia Tech,College Stats,WoriJa99
2,53,NWE,Jermaine Cunningham,LB,22,2013,0,0,1,8,8,38,0,0,0,0,0,0,0,0,0,0,0,44,,3.5,Florida,College Stats,CunnJe99
2,54,CIN,Carlos Dunlap,DE,21,2022,0,2,7,67,62,197,0,0,0,0,0,0,0,0,0,0,0,384,2,100,Florida,College Stats,DunlCa99
2,55,DAL,Sean Lee,LB,24,2020,1,2,7,53,53,118,0,0,0,0,0,0,0,0,0,0,0,521,14,4,Penn St.,College Stats,LeexSe99
2,56,GNB,Mike Neal,DE,23,2015,0,0,2,17,17,68,0,0,0,0,0,0,0,0,0,0,0,92,1,19,Purdue,College Stats,NealMi99
2,57,BAL,Terrence Cody,DT,22,2014,0,0,1,14,14,57,0,0,0,0,0,0,0,0,0,0,0,45,,,Alabama,College Stats,CodyTe99
2,58,HOU,Ben Tate,RB,22,2014,0,0,0,14,13,51,0,0,0,0,0,540,2363,14,67,347,0,,,,Auburn,College Stats,TateBe00
2,59,CLE,Montario Hardesty,RB,23,2012,0,0,0,4,4,23,0,0,0,0,0,153,537,1,16,138,0,,,,Tennessee,College Stats,HardMo00
2,60,SEA,Golden Tate,WR,22,2020,0,1,7,58,17,160,2,3,41,1,0,44,216,0,695,8278,46,,,,Notre Dame,College Stats,TateGo00
2,61,NYJ,Vlad Ducasse,T,22,2018,0,0,4,21,3,111,0,0,0,0,0,0,0,0,0,0,0,,,,Massachusetts,,DucaVl20
2,62,NWE,Brandon Spikes,LB,23,2016,0,0,5,25,19,78,0,0,0,0,0,0,0,0,0,0,0,212,2,2,Florida,College Stats,SpikBr99
2,63,IND,Pat Angerer,LB,23,2013,0,0,3,18,18,54,0,0,0,0,0,0,0,0,0,0,0,195,2,2.5,Iowa,College Stats,AngePa99
2,64,NOR,Charles Brown,T,23,2015,0,0,1,15,15,54,0,0,0,0,0,0,0,0,0,0,0,,,,USC,College Stats,BrowCh28
3,65,STL,Jerome Murphy,DB,23,2013,0,0,0,3,2,33,0,0,0,0,0,0,0,0,0,0,0,33,1,,South Florida,College Stats,MurpJe99
3,66,DET,Amari Spievey,DB,22,2012,0,0,2,11,11,35,0,0,0,0,0,0,0,0,0,0,0,117,5,1,Iowa,College Stats,SpieAm99
3,67,TAM,Myron Lewis,DB,22,2012,0,0,0,1,1,28,0,0,0,0,0,0,0,0,0,0,0,20,,,Vanderbilt,College Stats,LewiMy99
3,68,KAN,Jon Asamoah,G,22,2014,0,0,4,21,13,75,0,0,0,0,0,0,0,0,0,0,0,,,,Illinois,,AsamJo20
3,69,OAK,Jared Veldheer,T,23,2020,0,0,8,45,20,121,0,0,0,0,0,0,0,0,0,0,0,,,,Hillsdale,,VeldJa20
3,70,BAL,Ed Dickson,TE,23,2018,0,0,7,16,9,134,0,0,0,0,0,1,9,0,190,2128,15,14,,,Oregon,College Stats,DickEd00
3,71,GNB,Morgan Burnett,DB,21,2019,0,0,8,32,30,121,0,0,0,0,0,0,0,0,0,0,0,540,10,9.5,Georgia Tech,College Stats,BurnMo99
3,72,BUF,Alex Carrington,DE,23,2015,0,0,1,7,6,59,0,0,0,0,0,0,0,0,0,0,0,39,,4,Arkansas St.,College Stats,CarrAl99
3,73,MIA,John Jerry,T,24,2019,0,0,6,40,17,132,0,0,0,0,0,0,0,0,0,0,0,,,,Mississippi,,JerrJo20
3,74,JAX,D'Anthony Smith,DT,22,2015,0,0,0,1,1,12,0,0,0,0,0,0,0,0,0,0,0,8,,,Louisiana Tech,College Stats,SmitDA99
3,75,CHI,Major Wright,DB,22,2016,0,0,3,20,17,77,0,0,0,0,0,0,0,0,0,0,0,244,9,,Florida,College Stats,WrigMa99
3,76,NYG,Chad Jones,DB,,,0,0,0,,,,,,,,,,,,,,,,,,LSU,College Stats,-9999
3,77,TEN,Damian Williams,WR,22,2014,0,0,1,10,10,57,0,0,0,0,0,1,5,0,107,1327,5,4,,,USC,College Stats,WillDa04
3,78,CAR,Brandon LaFell,WR,23,2018,0,0,5,43,19,125,0,1,0,0,0,11,130,0,406,5398,31,2,,,LSU,College Stats,LaFeBr00
3,79,SDG,Donald Butler,LB,21,2016,0,0,5,29,26,85,0,0,0,0,0,0,0,0,0,0,0,285,3,7,Washington,,ButlDo99
3,80,DEN,J.D. Walton,C,23,2015,0,0,3,22,14,56,0,0,0,0,0,0,0,0,0,0,0,,,,Baylor,College Stats,WaltJ.20
3,81,HOU,Earl Mitchell,DT,22,2019,0,0,4,29,10,130,0,0,0,0,0,0,0,0,0,0,0,163,,6.5,Arizona,College Stats,MitcEa99
3,82,PIT,Emmanuel Sanders,WR,23,2021,0,2,9,63,11,172,3,3,78,2,0,21,202,1,704,9245,51,8,,,SMU,College Stats,SandEm00
3,83,ATL,Corey Peters,DT,22,2022,0,0,9,49,23,164,0,0,0,0,0,0,0,0,0,0,0,214,1,19,Kentucky,College Stats,PeteCo00
3,84,CIN,Jordan Shipley,WR,24,2012,0,0,0,7,5,24,0,0,0,0,0,0,0,0,79,858,4,,,,Texas,College Stats,ShipJo00
3,85,CLE,Colt McCoy,QB,24,2022,0,0,2,17,9,56,764,1220,7975,34,32,175,582,2,2,8,0,1,,,Texas,College Stats,McCoCo00
3,86,PHI,Daniel Te'o-Nesheim,DE,23,2013,0,0,2,12,1,39,0,0,0,0,0,0,0,0,0,0,0,36,,5,Washington,College Stats,Teo-Da99
3,87,DEN,Eric Decker,WR,23,2017,0,0,5,45,26,111,0,2,0,0,0,1,1,0,439,5816,53,8,,,Minnesota,College Stats,DeckEr00
3,88,ARI,Andre Roberts,WR,22,2022,1,3,2,24,14,182,0,0,0,0,0,16,120,0,262,3079,15,,,,The Citadel,,RobeAn00
3,89,CAR,Armanti Edwards,WR,22,2013,0,0,0,1,1,41,2,3,11,0,0,3,12,0,6,131,0,,,,Appalachian St.,,EdwaAr00
3,90,NWE,Taylor Price,WR,22,2011,0,0,0,1,1,6,0,0,0,0,0,0,0,0,5,80,0,,,,Ohio,College Stats,PricTa00
3,91,SFO,NaVorro Bowman,LB,22,2017,4,3,5,71,67,99,0,0,0,0,0,0,0,0,0,0,0,585,5,14,Penn St.,College Stats,BowmNa99
3,92,CLE,Shawn Lauvao,G,22,2018,0,0,7,36,16,99,0,0,0,0,0,0,0,0,0,0,0,,,,Arizona St.,College Stats,LauvSh20
3,93,KAN,Tony Moeaki,TE,23,2015,0,0,2,10,9,49,0,0,0,0,0,0,0,0,91,1201,6,,,,Iowa,College Stats,MoeaTo00
3,94,IND,Kevin Thomas,DB,23,2011,0,0,0,2,2,9,0,0,0,0,0,0,0,0,0,0,0,20,,,USC,,ThomKe99
3,95,NOR,Jimmy Graham,TE,23,2021,1,5,10,61,39,184,0,0,0,0,0,2,3,0,713,8506,85,2,,,Miami (FL),College Stats,GrahJi00
3,96,CIN,Brandon Ghee,DB,23,2014,0,0,0,2,1,29,0,0,0,0,0,0,0,0,0,0,0,17,1,,Wake Forest,College Stats,GheeBr99
3,97,TEN,Rennie Curran,LB,21,2010,0,0,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,4,,,Georgia,College Stats,CurrRe99
3,98,ATL,Mike Johnson,G,23,2012,0,0,0,2,2,18,0,0,0,0,0,0,0,0,1,1,1,,,,Alabama,,JohnMi23
4,99,STL,Mardy Gilyard,WR,23,2012,0,0,0,1,1,19,0,0,0,0,0,0,0,0,8,78,0,5,,,Cincinnati,College Stats,GilyMa00
4,100,MIN,Everson Griffen,DE,22,2021,0,4,6,66,65,170,0,0,0,0,0,0,0,0,0,0,0,286,2,85.5,USC,College Stats,GrifEv99
4,101,TAM,Mike Williams,WR,23,2014,0,0,3,25,25,63,1,1,28,0,0,1,3,0,223,3089,26,,,,Syracuse,College Stats,WillMi04
4,102,HOU,Darryl Sharpton,LB,22,2014,0,0,1,10,10,47,0,0,0,0,0,0,0,0,0,0,0,117,1,1,Miami (FL),College Stats,SharDa01
4,103,WAS,Perry Riley,LB,22,2016,0,0,6,30,27,90,0,0,0,0,0,0,0,0,0,0,0,308,3,9.5,LSU,College Stats,RilePe00
4,104,TEN,Alterraun Verner,DB,21,2017,0,1,4,33,26,125,0,0,0,0,0,0,0,0,0,0,0,371,15,0.5,UCLA,College Stats,VernAl99
4,105,PHI,Trevard Lindley,DB,24,2010,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,22,1,,Kentucky,College Stats,LindTr99
4,106,OAK,Bruce Campbell,T,22,2012,0,0,0,1,1,19,0,0,0,0,0,0,0,0,0,0,0,,,,Maryland,College Stats,CampBr20
4,107,BUF,Marcus Easley,WR,22,2015,0,0,0,1,1,42,0,0,0,0,0,0,0,0,3,71,1,41,1,,Connecticut,,EaslMa00
4,108,OAK,Jacoby Ford,WR,23,2013,0,0,1,12,12,38,0,0,0,0,0,19,201,2,57,848,3,1,,,Clemson,College Stats,FordJa01
4,109,CHI,Corey Wootton,DE,23,2014,0,0,1,14,12,60,0,0,0,0,0,0,0,0,0,0,0,65,,12,Northwestern,College Stats,WootCo99
4,110,SDG,Darrell Stuckey,DB,23,2016,0,1,0,8,8,89,0,0,0,0,0,0,0,0,0,0,0,73,,1,Kansas,College Stats,StucDa20
4,111,SEA,Walter Thurmond,DB,23,2015,0,0,1,12,5,52,0,0,0,0,0,0,0,0,0,0,0,121,4,3,Oregon,College Stats,ThurWa99
4,112,NYJ,Joe McKnight,RB,22,2014,0,0,0,7,6,41,0,0,0,0,0,113,505,0,23,241,2,8,,,USC,College Stats,McKnJo00
4,113,NWE,Aaron Hernandez,TE,20,2012,0,0,2,21,21,38,0,0,0,0,0,9,97,0,175,1956,18,,,,Florida,College Stats,HernAa00
4,114,BAL,Dennis Pitta,TE,25,2016,0,0,1,16,16,66,0,0,0,0,0,0,0,0,224,2098,13,2,,,BYU,College Stats,PittDe00
4,115,NYG,Phillip Dillard,LB,23,2010,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,,,Nebraska,College Stats,DillPh99
4,116,PIT,Thaddeus Gibson,DE,22,2011,0,0,0,0,,4,0,0,0,0,0,0,0,0,0,0,0,3,,,Ohio St.,College Stats,GibsTh99
4,117,ATL,Joe Hawley,C,21,2017,0,0,3,27,13,91,0,0,0,0,0,0,0,0,0,0,0,,,,UNLV,College Stats,HawlJo20
4,118,HOU,Garrett Graham,TE,24,2015,0,0,2,7,7,60,0,0,0,0,0,0,0,0,100,1059,10,5,,,Wisconsin,College Stats,GrahGa00
4,119,MIA,A.J. Edds,LB,22,2014,0,0,0,1,,17,0,0,0,0,0,0,0,0,0,0,0,4,,,Iowa,,EddsA.99
4,120,CIN,Geno Atkins,DT,22,2020,2,8,9,89,89,161,0,0,0,0,0,0,0,0,0,0,0,228,,75.5,Georgia,College Stats,AtkiGe99
4,121,PHI,Keenan Clayton,LB,23,2012,0,0,0,3,2,36,0,0,0,0,0,0,0,0,0,0,0,38,,,Oklahoma,College Stats,ClayKe99
4,122,PHI,Mike Kafka,QB,23,2011,0,0,0,0,0,4,11,16,107,0,2,3,0,0,0,0,0,,,,Northwestern,College Stats,KafkMi00
4,123,NOR,Al Woods,DT,23,2022,0,0,6,33,,155,0,0,0,0,0,0,0,0,0,0,0,162,,9,LSU,College Stats,WoodAl99
